1974,5817
1975,6054
1976,6259
1977,6704
1978,7022
1979,7315
1980,8086
1981,8741
1982,9256
1983,9971
1984,10698
1985,11566
1986,12428
1987,13241
1988,14634
1989,15721
1990,15716
1991,15858
1992,15993
1993,16295
1994,16948
1995,17714
1996,18633
1997,19713
1998,20420
1999,20995
2000,22246
2001,22833
2002,23117
2003,23904
2004,24510
2005,25447
2006,26697
2007,27381
2008,27618
2009,27592
2010,27441
2011,27687
2012,28825
2013,30184
2014,30398
2015,31666
2016,33116
2017,34604
2018,36044
2019,38951
2020,39261
